National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by degree-granting status and  highest degree offered: 2022-23"

Completion Year,Degree-granting status,Total,Non-degree granting,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Master's degree,Bachelor's degree,Associate's degree
2022-23,Total,"5,217,587","250,630","2,028,612","517,999","271,634","11,093","467,796","476,053","1,193,770"
2022-23,Degree-granting,"4,966,957",N/A,"2,028,612","517,999","271,634","11,093","467,796","476,053","1,193,770"
2022-23,"Non-degree-granting, primarily postsecondary","250,630","250,630",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-22,Total,"5,239,442","249,550","1,977,716","521,473","295,464","11,527","485,801","463,584","1,234,327"
2021-22,Degree-granting,"4,989,892",N/A,"1,977,716","521,473","295,464","11,527","485,801","463,584","1,234,327"
2021-22,"Non-degree-granting, primarily postsecondary","249,550","249,550",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Total,"5,242,994","236,640","1,929,328","508,044","329,549","40,511","500,143","457,882","1,240,897"
2020-21,Degree-granting,"5,006,354",N/A,"1,929,328","508,044","329,549","40,511","500,143","457,882","1,240,897"
2020-21,"Non-degree-granting, primarily postsecondary","236,640","236,640",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-20,Total,"5,137,005","215,992","1,847,502","512,327","329,294","43,841","498,709","445,853","1,243,487"
2019-20,Degree-granting,"4,921,013",N/A,"1,847,502","512,327","329,294","43,841","498,709","445,853","1,243,487"
2019-20,"Non-degree-granting, primarily postsecondary","215,992","215,992",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-19,Total,"5,144,436","237,316","1,764,261","529,370","327,518","36,358","518,107","432,052","1,299,454"
2018-19,Degree-granting,"4,907,120",N/A,"1,764,261","529,370","327,518","36,358","518,107","432,052","1,299,454"
2018-19,"Non-degree-granting, primarily postsecondary","237,316","237,316",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-18,Total,"5,020,910","236,536","1,716,276","505,784","293,319","56,430","549,883","392,246","1,270,436"
2017-18,Degree-granting,"4,784,374",N/A,"1,716,276","505,784","293,319","56,430","549,883","392,246","1,270,436"
2017-18,"Non-degree-granting, primarily postsecondary","236,536","236,536",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016-17,Total,"4,956,075","249,140","1,626,836","510,310","291,960","67,501","562,495","373,644","1,274,189"
2016-17,Degree-granting,"4,706,935",N/A,"1,626,836","510,310","291,960","67,501","562,495","373,644","1,274,189"
2016-17,"Non-degree-granting, primarily postsecondary","249,140","249,140",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015-16,Total,"4,892,308","253,737","1,573,314","505,237","292,184","51,706","571,265","367,440","1,277,425"
2015-16,Degree-granting,"4,638,571",N/A,"1,573,314","505,237","292,184","51,706","571,265","367,440","1,277,425"
2015-16,"Non-degree-granting, primarily postsecondary","253,737","253,737",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-15,Total,"4,863,935","281,316","1,502,085","508,549","257,435","66,317","589,807","354,072","1,304,354"
2014-15,Degree-granting,"4,582,619",N/A,"1,502,085","508,549","257,435","66,317","589,807","354,072","1,304,354"
2014-15,"Non-degree-granting, primarily postsecondary","281,316","281,316",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013-14,Total,"4,832,282","304,162","1,470,846","498,276","240,296","77,483","605,681","353,044","1,282,494"
2013-14,Degree-granting,"4,528,120",N/A,"1,470,846","498,276","240,296","77,483","605,681","353,044","1,282,494"
2013-14,"Non-degree-granting, primarily postsecondary","304,162","304,162",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012-13,Total,"4,793,988","316,242","1,431,450","503,108","216,831","76,899","629,006","350,016","1,270,436"
2012-13,Degree-granting,"4,477,746",N/A,"1,431,450","503,108","216,831","76,899","629,006","350,016","1,270,436"
2012-13,"Non-degree-granting, primarily postsecondary","316,242","316,242",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011-12,Total,"4,782,571","350,037","1,388,587","510,172","206,356","78,659","635,312","350,614","1,262,834"
2011-12,Degree-granting,"4,432,534",N/A,"1,388,587","510,172","206,356","78,659","635,312","350,614","1,262,834"
2011-12,"Non-degree-granting, primarily postsecondary","350,037","350,037",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Total,"4,637,322","369,724","1,314,645","482,179","190,706","79,510","644,764","321,624","1,234,170"
2010-11,Degree-granting,"4,267,598",N/A,"1,314,645","482,179","190,706","79,510","644,764","321,624","1,234,170"
2010-11,"Non-degree-granting, primarily postsecondary","369,724","369,724",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Total,"4,336,631","347,048","1,235,735","429,358","201,464","89,687","635,548","278,006","1,119,785"
2009-10,Degree-granting,"3,989,583",N/A,"1,235,735","429,358","201,464","89,687","635,548","278,006","1,119,785"
2009-10,"Non-degree-granting, primarily postsecondary","347,048","347,048",N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008-09,Total,"4,056,528","304,213","1,135,145","421,674","153,267","123,609","647,233","251,187","1,020,200"
2008-09,Degree-granting,"3,752,315",N/A,"1,135,145","421,674","153,267","123,609","647,233","251,187","1,020,200"
2008-09,"Non-degree-granting, primarily postsecondary","304,213","304,213",N/A,N/A,N/A,N/A,N/A,N/A,N/A

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
